respondent_id,human_id,normalized_weight,age,sex_text,age_text,CalculatedIncome,income_text,high_education,low_education,top_manager,employees,artisans,age_30_less,ScaledIncome,car_oriented_parents,city_center_as_kid,childSuburb,NbCar,NbBicy,NbHousehold,NbChild,work_trip,other_trip,trip_purpose_text,education_text,CAR_AVAILABLE,car_availability_text,Envir01,Mobil05,LifSty07,Envir05,Mobil12,LifSty01,TimePT,WaitingTimePT,MarginalCostPT,TimeCar,CostCarCHF,distance_km,TimePT_scaled,TimeCar_scaled,WaitingTimePT_scaled,MarginalCostPT_scaled,CostCarCHF_scaled,distance_km_scaled,Choice
H0001,10350017,0.8832827856419051,27,male,30 or younger,7000,around CHF 7000 per month,1,0,0,0,0,1,7.0,1,0,0,1,3,2,0,1,0,a work trip,high education,1,car is available for this trip,3,3,1,5,1,4,85,10,0.0,32,4.54,30.0,0.425,0.16,0.16666666666666666,0.0,0.454,6.0,1
H0002,10350085,0.954424398357919,57,male,57 years old,7000,around CHF 7000 per month,0,1,0,1,0,0,7.0,1,0,0,2,3,3,0,1,0,a work trip,not high education,1,car is available for this trip,1,4,1,5,1,3,190,18,10.8,14,1.66,12.5,0.95,0.07,0.3,1.08,0.16599999999999998,2.5,1
H0003,10350086,0.8584724543995766,58,female,58 years old,7000,around CHF 7000 per month,0,1,0,1,0,0,7.0,0,0,0,2,3,3,0,1,0,a work trip,not high education,1,car is available for this trip,2,3,2,5,2,4,116,29,9.6,20,2.71,19.0,0.58,0.1,0.48333333333333334,0.96,0.271,3.8,1
H0004,10350133,0.954424398357919,59,male,59 years old,3250,around CHF 3250 per month,0,1,0,1,0,0,3.25,1,0,0,1,2,2,0,1,0,a work trip,not high education,1,car is available for this trip,2,3,1,5,2,5,92,8,11.0,27,3.88,27.0,0.46,0.135,0.13333333333333333,1.1,0.388,5.4,1
H0005,10350197,0.8832827856419051,30,male,30 or younger,15000,around CHF 15000 per month,1,0,0,0,0,1,15.0,0,0,0,2,1,2,0,1,0,a work trip,high education,1,car is available for this trip,2,1,2,4,5,4,124,24,0.0,22,3.5,26.0,0.62,0.11,0.4,0.0,0.35,5.2,1
H0006,10350272,0.954424398357919,42,male,42 years old,7000,around CHF 7000 per month,0,1,0,0,0,0,7.0,1,0,0,2,3,2,3,1,0,a work trip,not high education,1,car is available for this trip,2,6,2,4,2,3,266,95,37.2,51,7.65,55.0,1.33,0.255,1.5833333333333333,3.72,0.765,11.0,1
H0007,10360011,0.954424398357919,56,male,56 years old,7000,around CHF 7000 per month,0,1,0,0,0,0,7.0,0,0,0,2,2,2,0,1,0,a work trip,not high education,1,car is available for this trip,3,2,3,4,2,2,180,41,26.4,45,6.35,44.5,0.9,0.225,0.6833333333333333,2.6399999999999997,0.635,8.9,1
H0008,10360011,0.954424398357919,56,male,56 years old,7000,around CHF 7000 per month,0,1,0,0,0,0,7.0,0,0,0,2,2,2,0,1,0,a work trip,not high education,1,car is available for this trip,3,2,3,4,2,2,312,51,59.6,93,20.1,135.5,1.56,0.465,0.85,5.96,2.0100000000000002,27.1,1
H0009,10360013,0.25459342446053546,42,male,42 years old,7000,around CHF 7000 per month,1,0,0,0,0,0,7.0,1,0,1,2,4,4,2,0,1,a non-work trip,high education,1,car is available for this trip,3,2,2,5,1,2,181,15,16.2,24,2.97,20.0,0.905,0.12,0.25,1.6199999999999999,0.29700000000000004,4.0,1
H0010,10360016,0.8584724543995766,44,female,44 years old,5000,around CHF 5000 per month,0,1,0,1,0,0,5.0,1,0,1,1,1,1,0,0,1,a non-work trip,not high education,1,car is available for this trip,1,1,1,3,1,3,184,10,20.0,30,3.68,22.0,0.92,0.15,0.16666666666666666,2.0,0.368,4.4,1
H0011,10360024,0.25459342446053546,51,male,51 years old,9000,around CHF 9000 per month,0,0,1,0,0,0,9.0,1,0,0,2,5,5,3,0,1,a non-work trip,not high education,1,car is available for this trip,4,4,2,5,2,4,200,12,15.2,26,3.34,24.5,1.0,0.13,0.2,1.52,0.33399999999999996,4.9,1
H0012,10360113,0.954424398357919,53,male,53 years old,9000,around CHF 9000 per month,0,1,1,0,0,0,9.0,0,0,1,3,3,4,0,0,1,a non-work trip,not high education,1,car is available for this trip,1,3,2,3,2,2,145,19,14.0,14,1.81,14.2,0.725,0.07,0.31666666666666665,1.4,0.181,2.84,1
H0013,10360139,0.2290902236010023,46,female,46 years old,15000,around CHF 15000 per month,0,0,0,1,0,0,15.0,0,1,0,2,3,4,2,0,1,a non-work trip,not high education,1,car is available for this trip,2,1,1,4,1,1,135,11,7.8,33,4.46,31.0,0.675,0.165,0.18333333333333332,0.78,0.446,6.2,1
H0014,10360193,0.8832827856419051,37,male,37 years old,15000,around CHF 15000 per month,1,0,0,0,0,0,15.0,1,0,1,2,0,2,0,0,1,a non-work trip,high education,1,car is available for this trip,3,6,3,5,1,5,159,11,43.2,28,4.61,32.5,0.795,0.14,0.18333333333333332,4.32,0.461,6.5,1
H0015,10360195,0.2290902236010023,52,female,52 years old,9000,around CHF 9000 per month,0,0,0,1,0,0,9.0,0,0,0,2,4,4,0,0,1,a non-work trip,not high education,1,car is available for this trip,4,2,2,4,2,4,194,22,9.6,47,6.98,51.5,0.97,0.235,0.36666666666666664,0.96,0.6980000000000001,10.3,1
H0016,10360196,0.2290902236010023,52,female,52 years old,9000,around CHF 9000 per month,0,0,0,1,0,0,9.0,0,0,0,2,4,4,0,0,1,a non-work trip,not high education,1,car is available for this trip,4,2,2,4,2,4,126,12,6.6,26,3.68,27.0,0.63,0.13,0.2,0.6599999999999999,0.368,5.4,1
H0017,10360235,0.25459342446053546,61,male,61 years old,15000,around CHF 15000 per month,0,0,0,1,0,0,15.0,1,0,0,3,5,3,0,1,0,a work trip,not high education,1,car is available for this trip,1,3,2,5,1,2,219,86,38.4,49,9.04,67.0,1.095,0.245,1.4333333333333333,3.84,0.9039999999999999,13.4,1
H0018,10360236,0.2290902236010023,48,female,48 years old,15000,around CHF 15000 per month,0,0,0,0,0,0,15.0,0,0,0,3,5,3,-1,0,1,a non-work trip,not high education,1,car is available for this trip,1,2,3,5,1,4,193,14,15.8,40,5.03,32.5,0.965,0.2,0.23333333333333334,1.58,0.503,6.5,1
